algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,6,550000,0.001080,0.007616,0.000000,0.002408,0.003323,0.013963,1
bs2,8,550000,0.000895,0.006377,0.000000,0.001868,0.003204,0.011944,1
bs2,10,550000,0.000911,0.004767,0.000000,0.001490,0.003144,0.009849,1
bs2,12,550000,0.000834,0.004298,0.000000,0.001294,0.003114,0.009099,1
bs2,16,550000,0.000862,0.003296,0.000000,0.000999,0.003150,0.007803,1
bs2,20,550000,0.001137,0.002674,0.000000,0.000953,0.003231,0.007176,1
bs2,24,550000,0.001070,0.002163,0.000000,0.000978,0.003497,0.006995,1
bs2,32,550000,0.001382,0.003244,0.000000,0.001073,0.003563,0.008287,1
bs2,48,550000,0.001636,0.002599,0.000000,0.001172,0.003504,0.007725,1
bs2,1,600000,0.004515,0.048276,0.000000,0.014971,0.007620,0.073434,1
bs2,2,600000,0.002550,0.024641,0.000000,0.007747,0.005141,0.039157,1
bs2,3,600000,0.001761,0.017674,0.000000,0.005218,0.004317,0.028366,1
bs2,4,600000,0.001484,0.013096,0.000000,0.003987,0.004186,0.022171,1
bs2,6,600000,0.001162,0.009010,0.000000,0.002701,0.003694,0.016097,1
bs2,8,600000,0.001097,0.006815,0.000000,0.002055,0.003518,0.012924,1
bs2,10,600000,0.000863,0.005525,0.000000,0.001652,0.003508,0.011156,1
bs2,12,600000,0.001016,0.004640,0.000000,0.001443,0.003408,0.009938,1
bs2,16,600000,0.001164,0.003833,0.000000,0.001137,0.003115,0.008855,1
bs2,20,600000,0.001133,0.002937,0.000000,0.001106,0.003667,0.008088,1
bs2,24,600000,0.001065,0.002497,0.000000,0.001151,0.003884,0.007847,1
bs2,32,600000,0.001271,0.003489,0.000000,0.001228,0.004112,0.009268,1
bs2,48,600000,0.001671,0.002860,0.000000,0.001362,0.004004,0.008663,1
bs2,1,650000,0.005283,0.049840,0.000000,0.016337,0.008811,0.078293,1
bs2,2,650000,0.002919,0.026093,0.000000,0.008417,0.005932,0.042200,1
bs2,3,650000,0.001981,0.019495,0.000000,0.005724,0.004904,0.031364,1
bs2,4,650000,0.001590,0.013997,0.000000,0.004351,0.004611,0.023932,1
bs2,6,650000,0.001295,0.010560,0.000000,0.002977,0.003713,0.017964,1
bs2,8,650000,0.001012,0.007382,0.000000,0.002260,0.003901,0.014144,1
bs2,10,650000,0.001078,0.006357,0.000000,0.001828,0.003803,0.012488,1
bs2,12,650000,0.000957,0.005042,0.000000,0.001587,0.003814,0.010905,1
bs2,16,650000,0.001036,0.004123,0.000000,0.001277,0.003850,0.009654,1
bs2,20,650000,0.001090,0.003355,0.000000,0.001249,0.003621,0.008618,1
bs2,24,650000,0.001059,0.002688,0.000000,0.001307,0.004252,0.008606,1
bs2,32,650000,0.001266,0.003665,0.000000,0.001386,0.004544,0.010072,1
bs2,48,650000,0.001628,0.003039,0.000000,0.001503,0.004456,0.009568,1
